listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15990983,WERRIBEE,3030,500.0,2173.0,"Friday, 05 September 2025",2025-08-27,12,3,1,1.0,House,63 Loyola Road,-37.911068,144.67418,2025-09-09 16:28:58,15990983,HH-3088-GC,10,0,0,False,House,House,LongView Real Estate,7797,Sarah Boccari,"Gas, Bath, Built in wardrobes, Split System Air Conditioning",https://www.domain.com.au/63-loyola-road-werribee-vic-3030-15990983
16180362,WERRIBEE,3030,480.0,2086.0,"Monday, 13 October 2025",2025-09-08,1,3,1,5.0,House,27 Wyndham Street,-37.893524,144.66144,2025-09-09 16:28:58,16180362,MD-2164-FN,18,0,0,False,House,House,Ray White Werribee,29214,"Maya Hunak, Marc Tanti",,https://www.domain.com.au/27-wyndham-street-werribee-vic-3030-16180362
17204922,WERRIBEE,3030,450.0,1955.0,"Wednesday, 01 October 2025",2025-09-08,0,3,2,2.0,Townhouse,46 Cressy Street,-37.905697,144.59698,2025-09-09 16:28:58,17204922,AP-7464-VJ,10,0,0,False,Townhouse/Villa,Townhouse,Banksia Property Agency,35065,"Thao Vu, Deepali Bharadwaj","Internal Laundry, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Ducted Heating, Split System Air Conditioning, Gas Hot Water, Outdoor Entertainment Area, Remote Garage, Secure Parking, Fully fenced",https://www.domain.com.au/46-cressy-street-werribee-vic-3030-17204922
17458612,WERRIBEE,3030,430.0,1868.0,"Friday, 01 August 2025",2025-07-16,55,3,2,1.0,House,1 Kalamundra Drive,-37.906994,144.59329,2025-09-09 16:28:58,17458612,AB-3180-FG,9,0,0,False,House,House,The Roof Real Estate,36733,Rita Sehgal,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1-kalamundra-drive-werribee-vic-3030-17458612
17602265,WERRIBEE,3030,465.0,2015.0,"Friday, 18 July 2025",2025-06-03,98,3,2,2.0,House,42 Taworri Crescent,-37.901794,144.61266,2025-09-09 16:28:58,17602265,,8,0,1,False,House,House,Ray White West Realty,28524,"Enza Rossitto, Chantae Jones","Secure Parking, Heating, Balcony / Deck",https://www.domain.com.au/42-taworri-crescent-werribee-vic-3030-17602265
17643690,WERRIBEE,3030,530.0,2303.0,"Saturday, 06 September 2025",2025-06-29,71,4,2,2.0,House,20 Taggerty Street,-37.91636,144.64345,2025-09-09 16:28:58,17643690,,7,0,0,False,House,House,Ausky Group,20742,"Vivi Liana, Rental Department",,https://www.domain.com.au/20-taggerty-street-werribee-vic-3030-17643690
17697250,WERRIBEE,3030,495.0,,"Friday, 01 August 2025",2025-08-01,38,4,2,2.0,House,10 Levittown Rise,-37.917362,144.60695,2025-09-09 16:28:58,17697250,,11,0,0,False,House,House,Investate International,33705,"Novine Zhang, Investate International","Secure Parking, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Alarm System, Close to schools, Ensuite, Carpeted, Exhaust, Courtyard, Dishwasher, Floorboards",https://www.domain.com.au/10-levittown-rise-werribee-vic-3030-17697250
17704647,WERRIBEE,3030,550.0,2390.0,"Thursday, 21 August 2025",2025-08-07,33,4,2,1.0,House,89A Chirnside Avenue,-37.912434,144.67125,2025-09-09 16:28:58,17704647,,12,0,0,False,House,House,Ray White Werribee,29214,"Maya Hunak, Marc Tanti","Heating, Dishwasher",https://www.domain.com.au/89a-chirnside-avenue-werribee-vic-3030-17704647
17712527,WERRIBEE,3030,450.0,1955.0,"Tuesday, 12 August 2025",2025-08-12,27,3,1,4.0,House,29 Illawong Grove,-37.901638,144.63596,2025-09-09 16:28:58,17712527,,14,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi","Secure Parking, Heating",https://www.domain.com.au/29-illawong-grove-werribee-vic-3030-17712527
17713279,WERRIBEE,3030,430.0,1868.0,"Friday, 05 September 2025",2025-08-13,27,3,2,1.0,House,1/88 Conquest Drive,-37.892887,144.66263,2025-09-09 16:28:58,17713279,,8,1,0,False,House,House,Ray White Werribee,29214,"Maya Hunak, Marc Tanti",Secure Parking,https://www.domain.com.au/1-88-conquest-drive-werribee-vic-3030-17713279
