listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13685849,WEST FOOTSCRAY,3012,370.0,1608,"Monday, 11 August 2025",2025-07-16,55,1,1,1.0,Apartment / Unit / Flat,11/90 Roberts Street,-37.808815,144.86992,2025-09-09 16:49:05,13685849,PB-2112-JR,8,0,0,False,Apartment,Apartment / Unit / Flat,Raine & Horne Williamstown,27263,Iman Hasan,,https://www.domain.com.au/11-90-roberts-street-west-footscray-vic-3012-13685849
15384482,WEST FOOTSCRAY,3012,440.0,1912,"Tuesday, 23 September 2025",2025-09-04,5,2,1,1.0,Apartment / Unit / Flat,9/22 Blandford Street,-37.794727,144.8772,2025-09-09 16:49:05,15384482,OL-6948-JR,12,0,0,False,Apartment,Apartment / Unit / Flat,Jas Stephens Real Estate,22,Natasha Roman,"Internal Laundry, Built in wardrobes, Split System Heating, Split System Air Conditioning, Balcony",https://www.domain.com.au/9-22-blandford-street-west-footscray-vic-3012-15384482
15851158,WEST FOOTSCRAY,3012,490.0,2129,"Tuesday, 30 September 2025",2025-08-28,12,2,1,1.0,Apartment / Unit / Flat,2/705 Barkly Street,-37.7964,144.86717,2025-09-09 16:49:05,15851158,YB-0267-XV,11,0,0,False,Apartment,Apartment / Unit / Flat,Jas Stephens Real Estate,22,Stephanie Njomkam,"Internal Laundry, Intercom, Floorboards, Built in wardrobes, Bathtub, Split System Heating, Split System Air Conditioning, Outdoor Entertainment Area, Courtyard, Secure Parking, Fully fenced, Pets Allowed",https://www.domain.com.au/2-705-barkly-street-west-footscray-vic-3012-15851158
15869308,WEST FOOTSCRAY,3012,670.0,2911,"Monday, 06 October 2025",2025-09-01,8,4,2,2.0,Townhouse,2/4 Clarendon Parade,-37.80526,144.86978,2025-09-09 16:49:05,15869308,QR-7980-QK,11,0,1,False,Townhouse/Villa,Townhouse,Jas Stephens Real Estate,22,Caitlyn Colquhoun,"Floorboards, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Ducted Air Conditioning, Gas Hot Water, Fully fenced",https://www.domain.com.au/2-4-clarendon-parade-west-footscray-vic-3012-15869308
16205669,WEST FOOTSCRAY,3012,550.0,2390,"Monday, 13 October 2025",2025-09-05,4,2,1,1.0,Townhouse,2/1 Stanhope Street,-37.79584,144.87207,2025-09-09 16:49:05,16205669,JG-3915-GX,10,0,0,False,Townhouse/Villa,Townhouse,Jas Stephens Real Estate,22,Illy Bakesy,"Internal Laundry, Balcony / Deck, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Split System Heating, Split System Air Conditioning, Courtyard, Remote Garage, Shed, Pets Allowed",https://www.domain.com.au/2-1-stanhope-street-west-footscray-vic-3012-16205669
16832407,WEST FOOTSCRAY,3012,340.0,1477,"Friday, 29 August 2025",2025-08-29,11,1,1,,Apartment / Unit / Flat,4/12 Carmichael Street,-37.798706,144.87863,2025-09-09 16:49:05,16832407,SG-9387-HO,5,0,0,False,Apartment,Apartment / Unit / Flat,Burnham Real Estate Footscray,3381,Bryson De Guzman,"Dishwasher, Air conditioning",https://www.domain.com.au/4-12-carmichael-street-west-footscray-vic-3012-16832407
17676644,WEST FOOTSCRAY,3012,395.0,1714,"Saturday, 16 August 2025",2025-07-20,51,1,1,1.0,Apartment / Unit / Flat,4/4 Beaumont Parade,-37.80768,144.8694,2025-09-09 16:49:05,17676644,,5,1,0,False,Apartment,Apartment / Unit / Flat,Lease A Property ,21230,Marc Angelone,"Gas, Internal Laundry, Built in wardrobes, Split System Heating, Reverse Cycle Air Conditioning",https://www.domain.com.au/4-4-beaumont-parade-west-footscray-vic-3012-17676644
17680257,WEST FOOTSCRAY,3012,410.0,1846,"Monday, 28 July 2025",2025-07-22,49,2,1,1.0,Apartment / Unit / Flat,2/13 Alberta Street,-37.796555,144.8637,2025-09-09 16:49:05,17680257,,8,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Kensington,20419,"Justin Jovanov, Vicki Lekanis","Internal Laundry, Secure Parking, Built in wardrobes",https://www.domain.com.au/2-13-alberta-street-west-footscray-vic-3012-17680257
17686843,WEST FOOTSCRAY,3012,525.0,2275,"Monday, 18 August 2025",2025-07-25,45,2,1,2.0,Townhouse,75 Cala Street,-37.80046,144.86691,2025-09-09 16:49:05,17686843,,7,0,0,False,Townhouse/Villa,Townhouse,Lease A Property ,21230,Marc Angelone,"Built in wardrobes, Secure Parking, Heating, Dishwasher, Pets Allowed",https://www.domain.com.au/75-cala-street-west-footscray-vic-3012-17686843
17694050,WEST FOOTSCRAY,3012,520.0,2260,"Tuesday, 26 August 2025",2025-07-31,40,2,1,2.0,Apartment / Unit / Flat,1/51 Alma Street,-37.794144,144.86884,2025-09-09 16:49:05,17694050,,11,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Inner West,4371,Eliza O'Donnell,"Bath, Split System Air Con, Split System Heating, Built in wardrobes, Garden / Courtyard, Remote Garage, Floorboards, Secure Parking",https://www.domain.com.au/1-51-alma-street-west-footscray-vic-3012-17694050
17704868,WEST FOOTSCRAY,3012,470.0,2042,"Wednesday, 13 August 2025",2025-08-07,33,1,1,1.0,Apartment / Unit / Flat,14/707 Barkly Street,-37.79637,144.86697,2025-09-09 16:49:05,17704868,,9,0,1,False,Apartment,Apartment / Unit / Flat,Create Real Estate,13833,Create Rentals,Built in wardrobes,https://www.domain.com.au/14-707-barkly-street-west-footscray-vic-3012-17704868
17730954,WEST FOOTSCRAY,3012,365.0,1586,"Wednesday, 03 September 2025",2025-08-26,14,1,1,1.0,Apartment / Unit / Flat,6/13 Clarendon Parade,-37.80573,144.86888,2025-09-09 16:49:05,17730954,,6,0,0,False,Apartment,Apartment / Unit / Flat,Nicholas Scott Real Estate,8676,Lucinda Rose,"Internal Laundry, Air conditioning, Heating, Built in wardrobes, Carpeted",https://www.domain.com.au/6-13-clarendon-parade-west-footscray-vic-3012-17730954
17735569,WEST FOOTSCRAY,3012,395.0,1712,"Thursday, 28 August 2025",2025-08-27,12,1,1,1.0,Apartment / Unit / Flat,4/4 Beaumont Parade,-37.80768,144.8694,2025-09-09 16:49:05,17735569,,3,0,0,False,Apartment,Apartment / Unit / Flat,RentBetter,27499,,"Air conditioning, Built in wardrobes, Heating",https://www.domain.com.au/4-4-beaumont-parade-west-footscray-vic-3012-17735569
