listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15852302,WEST MELBOURNE,3003,800.0,3477.0,"Wednesday, 03 September 2025",2025-09-03,6,3.0,2.0,2.0,House,301/118 Dudley Street,-37.809357,144.9514,2025-09-09 16:53:17,15852302,XW-1292-UK,12,0,0,False,House,House,Casa Real Estate,20327,Mario Setiawan,"Secure Parking, Gym, Balcony / Deck",https://www.domain.com.au/301-118-dudley-street-west-melbourne-vic-3003-15852302
17074283,WEST MELBOURNE,3003,595.0,2585.0,"Monday, 04 August 2025",2025-07-27,43,2.0,1.0,,Apartment / Unit / Flat,502/41 Batman Street,-37.810875,144.95183,2025-09-09 16:53:17,17074283,OI-8151-JF,11,0,0,True,Apartment,Apartment / Unit / Flat,Ray White Southbank,20626,"Emma Smith, Alex Mees",Furnished,https://www.domain.com.au/502-41-batman-street-west-melbourne-vic-3003-17074283
17174637,WEST MELBOURNE,3003,1200.0,5214.0,"Tuesday, 11 November 2025",2025-09-08,1,3.0,2.0,2.0,Apartment / Unit / Flat,401/491 Victoria Street,-37.8047,144.94362,2025-09-09 16:53:17,17174637,OO-7302-AZ,12,0,0,False,Apartment,Apartment / Unit / Flat,Gotham Property,32563,Manuel Flores,,https://www.domain.com.au/401-491-victoria-street-west-melbourne-vic-3003-17174637
17615404,WEST MELBOURNE,3003,550.0,,"Friday, 11 July 2025",2025-06-11,90,2.0,1.0,,Apartment / Unit / Flat,1104/53 Batman Street,-37.81091,144.95145,2025-09-09 16:53:17,17615404,,12,1,1,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Vince Ramesan,"Air conditioning, Built in wardrobes, Internal Laundry, Furnished, Gym, Intercom, Broadband internet access, Dishwasher, Balcony / Deck",https://www.domain.com.au/1104-53-batman-street-west-melbourne-vic-3003-17615404
17702422,WEST MELBOURNE,3003,600.0,2607.0,"Monday, 11 August 2025",2025-08-06,34,2.0,1.0,1.0,Apartment / Unit / Flat,405/135 Roden Street,-37.80839,144.94763,2025-09-09 16:53:17,17702422,,10,0,0,True,Apartment,Apartment / Unit / Flat,Ray White Southbank,20626,"Eva Christodoulou, Macy Roberts","Air conditioning, Intercom, Built in wardrobes, Heating, Dishwasher, Secure Parking, Balcony / Deck, City Views",https://www.domain.com.au/405-135-roden-street-west-melbourne-vic-3003-17702422
17708985,WEST MELBOURNE,3003,500.0,,"Friday, 12 September 2025",2025-08-11,29,1.0,1.0,,Apartment / Unit / Flat,507/53 Batman Street,-37.81097,144.95148,2025-09-09 16:53:17,17708985,,9,1,1,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Vince Ramesan,"Internal Laundry, Heating, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Gym, Intercom",https://www.domain.com.au/507-53-batman-street-west-melbourne-vic-3003-17708985
17713378,WEST MELBOURNE,3003,1280.0,6841.0,"Monday, 08 September 2025",2025-08-13,27,4.0,2.0,2.0,House,185 Stanley Street,-37.810238,144.9462,2025-09-09 16:53:17,17713378,,14,0,0,False,House,House,Jellis Craig - Brunswick,6216,David Johnston,"Split System Air Con, Alarm System, Balcony / Deck, Split System Heating, Study, Dishwasher, Heating, Remote Garage, Secure Parking",https://www.domain.com.au/185-stanley-street-west-melbourne-vic-3003-17713378
17730939,WEST MELBOURNE,3003,850.0,,"Monday, 15 September 2025",2025-08-25,14,2.0,2.0,1.0,Apartment / Unit / Flat,703/23 Batman Street,-37.810738,144.95226,2025-09-09 16:53:17,17730939,,23,0,0,False,Apartment,Apartment / Unit / Flat,MICM Real Estate,232,Vince Ramesan,"Internal Laundry, Heating, Secure Parking, Swimming Pool, Air conditioning, Alarm System, Balcony / Deck, Built in wardrobes, Dishwasher, Gym, Intercom, Furnished",https://www.domain.com.au/703-23-batman-street-west-melbourne-vic-3003-17730939
17738135,WEST MELBOURNE,3003,540.0,2346.0,"Monday, 01 September 2025",2025-08-29,11,1.0,1.0,,Apartment / Unit / Flat,906/23 Batman St,-37.810738,144.95226,2025-09-09 16:53:17,17738135,,11,0,1,False,Apartment,Apartment / Unit / Flat,MATRIX GLOBAL INVESTMENT GROUP MELBOURNE PTY LTD,30850,"Terry Zhang, Tony Gao","Air conditioning, Internal Laundry, Intercom, Gym, Built in wardrobes, Dishwasher, Balcony, Swimming Pool, Furnished",https://www.domain.com.au/906-23-batman-st-west-melbourne-vic-3003-17738135
17746704,WEST MELBOURNE,3003,570.0,2477.0,"Tuesday, 16 September 2025",2025-09-04,5,1.0,1.0,1.0,Apartment / Unit / Flat,101/101 Rosslyn Street,-37.808758,144.95094,2025-09-09 16:53:17,17746704,,11,0,2,False,Apartment,Apartment / Unit / Flat,Bricks and Mortar RE,31967,Juliet Gallen,"Intercom, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Balcony, Pets Allowed",https://www.domain.com.au/101-101-rosslyn-street-west-melbourne-vic-3003-17746704
