listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
13763488,WESTMEADOWS,3049,580,2520,"Monday, 01 September 2025",2025-08-05,35,3,2,2,House,60 Village Crescent,-37.67239,144.90576,2025-09-09 17:01:09,13763488,XE-7045-OZ,6,0,1,False,House,House,LITTLE Real Estate Victoria,24974,Pelin Vural,"Car Accom: Double Garage, Heating: Gas Ducted Heating, Kitchen: Open Plan, Cooking: Gas Hotplates and Electric Oven",https://www.domain.com.au/60-village-crescent-westmeadows-vic-3049-13763488
16934283,WESTMEADOWS,3049,600,2607,"Monday, 01 September 2025",2025-08-11,29,3,2,2,House,74 Village Crescent,-37.67162,144.9059,2025-09-09 17:01:09,16934283,JE-8943-QT,7,0,0,False,House,House,Ray White Glenroy,17825,Athanasi Triantafillou,"Built in wardrobes, Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/74-village-crescent-westmeadows-vic-3049-16934283
16955806,WESTMEADOWS,3049,610,2651,"Thursday, 21 March 2024",2024-04-05,521,3,2,2,House,74 Village Crescent,-37.67162,144.9059,2025-09-09 17:01:09,16955806,JE-8943-QT,0,0,0,False,House,House,Ray White Glenroy,17825,,"Built in wardrobes, Internal Laundry, Secure Parking",https://www.domain.com.au/74-village-crescent-westmeadows-vic-3049-16955806
17149985,WESTMEADOWS,3049,530,2303,"Friday, 12 September 2025",2025-09-02,7,3,2,2,House,2 Kernot Court,-37.675045,144.90608,2025-09-09 17:01:09,17149985,FA-0521-SU,14,1,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",,https://www.domain.com.au/2-kernot-court-westmeadows-vic-3049-17149985
17547034,WESTMEADOWS,3049,220,880,"Wednesday, 19 February 2025",2025-04-29,133,1,1,1,Studio,18 Kenny Street,-37.675755,144.9025,2025-09-09 17:01:09,17547034,,12,0,0,False,Apartment,Studio,The Hopkins Group,17841,"Sonya Rokhlina, James Hickey","Air conditioning, Close to shops, Vacuum System, Close to schools, Security Access, Furnished, Floorboards",https://www.domain.com.au/18-kenny-street-westmeadows-vic-3049-17547034
17695411,WESTMEADOWS,3049,560,2427,"Sunday, 31 August 2025",2025-09-03,6,3,2,2,Townhouse,5 Treestone Walk,-37.674103,144.9072,2025-09-09 17:01:09,17695411,,8,0,0,False,Townhouse/Villa,Townhouse,Ray White West Realty,28524,"Louise Ericksen, Chantae Jones","Internal Laundry, Secure Parking, Heating",https://www.domain.com.au/5-treestone-walk-westmeadows-vic-3049-17695411
17726095,WESTMEADOWS,3049,470,2042,"Thursday, 17 July 2025",2025-08-21,19,3,1,1,House,38 Koala Cresent,-37.67613,144.88054,2025-09-09 17:01:09,17726095,,1,0,0,False,House,House,Harcourts Hume,22388,Lexie Steele,"Floorboards, Heating, roller blinds",https://www.domain.com.au/38-koala-cresent-westmeadows-vic-3049-17726095
17742010,WESTMEADOWS,3049,560,2433,"Saturday, 20 September 2025",2025-09-01,7,3,2,1,House,5/185-195 Johnstone Street,-37.680042,144.8991,2025-09-09 17:01:09,17742010,,15,0,0,False,House,House,Harcourts Hume,22388,Lexie Steele,"Air conditioning, Floorboards, Heating, Dishwasher, Balcony / Deck, roller shutters, back shed, 1 study/formal lounge, upstairs lounge",https://www.domain.com.au/5-185-195-johnstone-street-westmeadows-vic-3049-17742010
17745102,WESTMEADOWS,3049,625,2500,"Wednesday, 08 October 2025",2025-09-03,6,3,2,2,House,45A Toora Dr,-37.673203,144.90024,2025-09-09 17:01:09,17745102,,11,0,2,False,House,House,RentBetter,27499,,"Secure Parking, Broadband internet access, Bath, Air conditioning, Balcony / Deck, Built in wardrobes, Dishwasher, Fully fenced, Garden / Courtyard, Heating, Rainwater storage tank",https://www.domain.com.au/45a-toora-dr-westmeadows-vic-3049-17745102
17746864,WESTMEADOWS,3049,520,2260,"Saturday, 06 September 2025",2025-09-04,5,3,1,1,House,1 Ninda Court,-37.6699,144.9095,2025-09-09 17:01:09,17746864,,13,0,1,False,House,House,Ray White Gladstone Park,31262,Tiana Rubeidis,"Built in wardrobes, Heating",https://www.domain.com.au/1-ninda-court-westmeadows-vic-3049-17746864
17750609,WESTMEADOWS,3049,690,2990,"Wednesday, 19 June 2024",2025-09-08,1,4,3,1,Townhouse,299a Mickleham Road,-37.678463,144.88367,2025-09-09 17:01:09,17750609,,1,0,0,False,Townhouse/Villa,Townhouse,Jason Real Estate Sales PTY LTD,6638,"Chanel Sassine, Tiffany Luu","Gas, Secure Parking, Built in wardrobes, Close to transport, Close to shops, Alarm System, Close to schools, Ensuite, Dishwasher, Floorboards",https://www.domain.com.au/299a-mickleham-road-westmeadows-vic-3049-17750609
17754307,WESTMEADOWS,3049,550,2384,"Monday, 29 September 2025",2025-09-09,0,3,1,2,House,4 Walpa Court,-37.673897,144.9022,2025-09-09 17:01:09,17754307,,8,0,0,False,House,House,Jason Real Estate Sales PTY LTD,6638,"Chanel Sassine, Tiffany Luu","Gas, Internal Laundry, Heating, Air conditioning, Built in wardrobes, Close to transport, Close to shops, Close to schools, Dishwasher, Fully fenced",https://www.domain.com.au/4-walpa-court-westmeadows-vic-3049-17754307
