listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16484332,WHEELERS HILL,3150,680,2955.0,"Tuesday, 08 July 2025",2025-06-25,76.0,4,2,2,House,38 Cootamundra Drive,-37.910007,145.17229,2025-09-09 17:04:26,16484332,OU-4298-ZP,20.0,0.0,0.0,False,House,House,Ray White Oakleigh,12122.0,"Matthew Swinnerton, Cecily Qiao",Ensuite,https://www.domain.com.au/38-cootamundra-drive-wheelers-hill-vic-3150-16484332
16963573,WHEELERS HILL,3150,800,3476.0,"Wednesday, 10 September 2025",2025-08-13,27.0,5,3,2,House,122 View Mount Road,-37.903126,145.1742,2025-09-09 17:04:26,16963573,BI-9962-GK,11.0,0.0,0.0,False,House,House,First National Burwood,36821.0,John Zhang,"Gas, Secure Parking, Dishwasher, Study, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/122-view-mount-road-wheelers-hill-vic-3150-16963573
17139048,WHEELERS HILL,3150,680,2955.0,"Saturday, 23 August 2025",2025-08-27,13.0,3,2,2,House,17 Mackellar Avenue,-37.911907,145.16814,2025-09-09 17:04:26,17139048,WL-5117-VJ,11.0,0.0,0.0,False,House,House,Biggin Scott Glen Waverley,24636.0,"Leasing Team, Thanasi Mallios",Balcony / Deck,https://www.domain.com.au/17-mackellar-avenue-wheelers-hill-vic-3150-17139048
17644006,WHEELERS HILL,3150,550,2390.0,"Monday, 08 September 2025",2025-09-02,7.0,3,1,1,House,49 Haversham Avenue,-37.912235,145.20227,2025-09-09 17:04:26,17644006,,10.0,1.0,0.0,False,House,House,Roger Davis Real Estate,6422.0,Vicki Zhang,"Gas, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Ducted Heating, Remote Garage",https://www.domain.com.au/49-haversham-avenue-wheelers-hill-vic-3150-17644006
17703694,WHEELERS HILL,3150,646,,,,,3,2,3,House,8 Dirigo Dr,-37.91545,145.17609,2025-09-09 17:04:26,search results - rent,,,,,,,,,,,,https://www.domain.com.au/8-dirigo-dr-wheelers-hill-vic-3150-17703694
17712347,WHEELERS HILL,3150,750,3259.0,"Friday, 22 August 2025",2025-08-12,28.0,4,2,2,House,49 Darnley Grove,-37.905914,145.17642,2025-09-09 17:04:26,17712347,,8.0,0.0,0.0,False,House,House,Biggin Scott Glen Waverley,24636.0,"Leasing Team, Eric  Sandjaja","Air conditioning, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/49-darnley-grove-wheelers-hill-vic-3150-17712347
17712753,WHEELERS HILL,3150,720,3129.0,"Thursday, 21 August 2025",2025-08-13,27.0,4,2,2,House,12 Meadowbrook Drive,-37.907654,145.17401,2025-09-09 17:04:26,17712753,,7.0,0.0,0.0,True,House,House,Jellis Craig Glen Waverley,5378.0,"Jocelyn  Leong, Andre Barker","Gas, Built in wardrobes, Dishwasher, Ducted Heating, Air conditioning",https://www.domain.com.au/12-meadowbrook-drive-wheelers-hill-vic-3150-17712753
17718418,WHEELERS HILL,3150,880,3824.0,"Wednesday, 10 September 2025",2025-08-15,24.0,5,3,2,House,88 Marykirk Drive,-37.912254,145.19235,2025-09-09 17:04:26,17718418,,16.0,0.0,0.0,False,House,House,Roger Davis Real Estate,6422.0,Vicki Zhang,"Gas, Split System Air Con, Built in wardrobes, Dishwasher, Ducted Heating, Floorboards, Shed, Ensuite",https://www.domain.com.au/88-marykirk-drive-wheelers-hill-vic-3150-17718418
17720325,WHEELERS HILL,3150,580,2520.0,"Monday, 29 September 2025",2025-08-18,22.0,2,1,1,House,2/52 Whalley Drive,-37.91877,145.18996,2025-09-09 17:04:26,17720325,,5.0,0.0,0.0,False,House,House,Ray White (Judd White Group),17402.0,Jennie Tran,"Built in wardrobes, Secure Parking, Heating, Dishwasher",https://www.domain.com.au/2-52-whalley-drive-wheelers-hill-vic-3150-17720325
17722845,WHEELERS HILL,3150,780,3389.0,"Tuesday, 19 August 2025",2025-08-19,20.0,4,2,1,House,193 Lum Road,-37.9081,145.17891,2025-09-09 17:04:26,17722845,,14.0,0.0,0.0,False,House,House,Roger Davis Real Estate,6422.0,Vicki Zhang,"Secure Parking, Balcony / Deck, Built in wardrobes, Outdoor Entertainment Area, Dishwasher, Ducted Heating, Evaporative Cooling",https://www.domain.com.au/193-lum-road-wheelers-hill-vic-3150-17722845
