listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
10119117,WILLIAMSTOWN,3016,490,2129,"Friday, 12 September 2025",2025-08-11,29,1,1,1.0,Apartment / Unit / Flat,201/133 Railway Place,-37.85963,144.89041,2025-09-09 17:19:55,10119117,AZ-8275-BK,6,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Pelin Vural,"Car Accom: Single Garage, Pool/Spa Count: 0, Furnished",https://www.domain.com.au/201-133-railway-place-williamstown-vic-3016-10119117
13819785,WILLIAMSTOWN,3016,380,1651,"Monday, 06 October 2025",2025-09-04,5,1,1,1.0,Apartment / Unit / Flat,16/99 Verdon Street,-37.85903,144.89134,2025-09-09 17:19:55,13819785,ZP-0019-CL,11,0,2,False,Apartment,Apartment / Unit / Flat,Williams Real Estate,16021,Williams Real Estate,,https://www.domain.com.au/16-99-verdon-street-williamstown-vic-3016-13819785
14483776,WILLIAMSTOWN,3016,390,1695,"Thursday, 18 September 2025",2025-08-25,14,1,1,1.0,Apartment / Unit / Flat,10/14 Stevedore Street,-37.857082,144.90063,2025-09-09 17:19:55,14483776,PT-9184-LJ,7,0,0,False,Apartment,Apartment / Unit / Flat,Compton Green,3133,"Linda Lawrence, Gia Rigas","Heating, Built in wardrobes",https://www.domain.com.au/10-14-stevedore-street-williamstown-vic-3016-14483776
16192206,WILLIAMSTOWN,3016,440,1912,"Wednesday, 01 October 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,8/77 Victoria Street,-37.86174,144.88846,2025-09-09 17:19:55,16192206,GV-7911-BP,7,0,0,False,Apartment,Apartment / Unit / Flat,Compton Green,3133,"Linda Lawrence, Cathy Royal","Built in wardrobes, Gas, Internal Laundry, Bath, Balcony / Deck",https://www.domain.com.au/8-77-victoria-street-williamstown-vic-3016-16192206
16654751,WILLIAMSTOWN,3016,950,4128,"Saturday, 20 September 2025",2025-08-27,13,3,2,2.0,Townhouse,10 Ryans Lane,-37.85876,144.901,2025-09-09 17:19:55,16654751,CZ-4082-OO,10,0,0,False,Townhouse/Villa,Townhouse,Compton Green,3133,"Linda Lawrence, Gia Rigas","Secure Parking, Ensuite, Floorboards, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Balcony / Deck, Garden / Courtyard, City Views",https://www.domain.com.au/10-ryans-lane-williamstown-vic-3016-16654751
17136122,WILLIAMSTOWN,3016,750,3150,"Friday, 26 September 2025",2025-09-03,6,2,2,1.0,Apartment / Unit / Flat,213/29 Waterline Place,-37.865417,144.9085,2025-09-09 17:19:55,17136122,SV-9327-TZ,13,0,1,True,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,"Gym, Intercom, Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, Secure Parking",https://www.domain.com.au/213-29-waterline-place-williamstown-vic-3016-17136122
17150419,WILLIAMSTOWN,3016,750,3259,"Wednesday, 01 October 2025",2025-09-01,8,2,2,1.0,Apartment / Unit / Flat,119/29 Waterline Place,-37.865417,144.9085,2025-09-09 17:19:55,17150419,GA-9403-XO,15,0,1,True,Apartment,Apartment / Unit / Flat,Richardson & Wrench Projects Victoria,31321,Daniel Aldieri,"Gym, Intercom, Floorboards, Built in wardrobes, Dishwasher, Broadband, Split System Heating, Split System Air Conditioning, Balcony, Secure Parking",https://www.domain.com.au/119-29-waterline-place-williamstown-vic-3016-17150419
17650532,WILLIAMSTOWN,3016,950,4128,"Thursday, 03 July 2025",2025-07-03,68,1,1,1.0,House,1 Syme Street,-37.86253,144.90553,2025-09-09 17:19:55,17650532,,15,0,1,True,House,House, Jellis Craig & Company Pty Ltd,6525,Heather Kirk,"Secure Parking, Dishwasher",https://www.domain.com.au/1-syme-street-williamstown-vic-3016-17650532
17692913,WILLIAMSTOWN,3016,700,3042,"Thursday, 07 August 2025",2025-07-30,41,4,1,1.0,House,21 Laverton Street,-37.862587,144.89012,2025-09-09 17:19:55,17692913,,14,0,0,False,House,House,"Sweeney Altona, Altona Meadows & Altona North",81,Sweeney Rentals,"Floorboards, Bath, Fireplace(s), freshly painted, brand new wall panel heater, brand new blinds, brand new floorboards in some rooms",https://www.domain.com.au/21-laverton-street-williamstown-vic-3016-17692913
17710089,WILLIAMSTOWN,3016,825,3584,"Monday, 18 August 2025",2025-08-11,29,4,2,2.0,House,32a Kororoit Creek Road,-37.85728,144.8865,2025-09-09 17:19:55,17710089,,12,0,1,False,House,House,The Agency Victoria,29954,Harshil Vora,"Dishwasher, Bathtub, Pets Allowed",https://www.domain.com.au/32a-kororoit-creek-road-williamstown-vic-3016-17710089
17710940,WILLIAMSTOWN,3016,550,2390,"Friday, 22 August 2025",2025-08-12,28,2,1,1.0,Apartment / Unit / Flat,13/77 Dover Road,-37.853672,144.89813,2025-09-09 17:19:55,17710940,,9,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Williamstown,3723,Travis Flint,"Air conditioning, Built in wardrobes",https://www.domain.com.au/13-77-dover-road-williamstown-vic-3016-17710940
17727590,WILLIAMSTOWN,3016,595,2578,"Friday, 22 August 2025",2025-08-22,18,2,1,,House,6 Pearson Street,-37.856083,144.90018,2025-09-09 17:19:55,17727590,,11,0,0,False,House,House,McGrath Yarraville,15054,Raelene Hallmark,Gas,https://www.domain.com.au/6-pearson-street-williamstown-vic-3016-17727590
17731320,WILLIAMSTOWN,3016,490,2129,"Monday, 15 September 2025",2025-08-26,14,2,1,1.0,Apartment / Unit / Flat,7/44 Kororoit Creek Road,-37.857273,144.88567,2025-09-09 17:19:55,17731320,,9,0,0,False,Apartment,Apartment / Unit / Flat,Jellis Craig Inner West,19574,Sala Liku,Built in wardrobes,https://www.domain.com.au/7-44-kororoit-creek-road-williamstown-vic-3016-17731320
17732420,WILLIAMSTOWN,3016,440,1907,"Monday, 22 September 2025",2025-08-26,14,2,1,1.0,House,17 Rennie St,-37.85515,144.89488,2025-09-09 17:19:55,17732420,,9,0,0,False,House,House,For Sale By Owner,20095,For Rent,"Air conditioning, Heating",https://www.domain.com.au/17-rennie-st-williamstown-vic-3016-17732420
17733564,WILLIAMSTOWN,3016,395,1716,"Wednesday, 10 September 2025",2025-08-27,13,1,1,2.0,Apartment / Unit / Flat,1/95 Melbourne Road,-37.858902,144.89398,2025-09-09 17:19:55,17733564,,10,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Williamstown,3723,Travis Flint,"Air conditioning, Floorboards, Separate Dining Room, Dishwasher",https://www.domain.com.au/1-95-melbourne-road-williamstown-vic-3016-17733564
