listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
15721898,WINDSOR,3181,470.0,2042.0,"Friday, 05 September 2025",2025-08-18,22,1,1,1.0,Apartment / Unit / Flat,6/4 Normanby Street,-37.8535,145.00136,2025-09-09 16:18:53,15721898,KN-8718-LC,9,0,0,False,Apartment,Apartment / Unit / Flat,JWC Property Group,32932,"Billy Soe, Jensen Woo","Gas, Heating",https://www.domain.com.au/6-4-normanby-street-windsor-vic-3181-15721898
16032447,WINDSOR,3181,550.0,2383.0,"Thursday, 04 September 2025",2025-09-01,8,2,1,,Apartment / Unit / Flat,5/13 Lewisham Road,-37.857155,144.99876,2025-09-09 16:18:53,16032447,DR-5459-JG,9,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Chaya Varsani,"Air conditioning, Built in wardrobes, Intercom, Heating, Pool/Spa Count: 0",https://www.domain.com.au/5-13-lewisham-road-windsor-vic-3181-16032447
16139682,WINDSOR,3181,540.0,2346.0,"Friday, 31 October 2025",2025-08-26,14,1,1,1.0,Apartment / Unit / Flat,109/K6 High Street,-37.850674,144.9831,2025-09-09 16:18:53,16139682,EM-0938-XJ,24,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Ferntree Gully,7876,Ray White Rental Centre,"Gas, Balcony / Deck",https://www.domain.com.au/109-k6-high-street-windsor-vic-3181-16139682
17025054,WINDSOR,3181,550.0,2390.0,"Sunday, 10 August 2025",2025-08-26,14,1,1,1.0,Apartment / Unit / Flat,213/K6 High Street,-37.850674,144.9831,2025-09-09 16:18:53,17025054,NV-4709-BC,24,0,0,False,Apartment,Apartment / Unit / Flat,Auswell Property Solution Pty Ltd,32686,Lily Xu,"Dishwasher, Furnished",https://www.domain.com.au/213-k6-high-street-windsor-vic-3181-17025054
17699383,WINDSOR,3181,450.0,2085.0,"Wednesday, 03 September 2025",2025-08-04,36,1,1,1.0,Apartment / Unit / Flat,14/231 Dandenong Road,-37.85838,144.99931,2025-09-09 16:18:53,17699383,,5,0,0,False,Apartment,Apartment / Unit / Flat,Belle Property St Kilda,3722,"Shari Holmes, Hannah West",,https://www.domain.com.au/14-231-dandenong-road-windsor-vic-3181-17699383
17712368,WINDSOR,3181,825.0,3585.0,"Friday, 29 August 2025",2025-08-13,27,2,1,,House,27 Earl Street,-37.853466,144.99486,2025-09-09 16:18:53,17712368,,7,0,1,False,House,House,Kay & Burton Stonnington,88,Hudson Keppell,,https://www.domain.com.au/27-earl-street-windsor-vic-3181-17712368
17713166,WINDSOR,3181,850.0,3693.0,"Monday, 08 September 2025",2025-08-13,27,2,1,,House,20 James Street,-37.855034,144.99431,2025-09-09 16:18:53,17713166,,9,0,1,False,House,House,Hodges Prahran South Yarra,3916,"Natasha Tseng, Prahran Leasing","Internal Laundry, Bath, Split System Air Con, Alarm System, Split System Heating, Study, Built in wardrobes, Garden / Courtyard, Dishwasher, Floorboards, Heating, Rear Studio",https://www.domain.com.au/20-james-street-windsor-vic-3181-17713166
17722746,WINDSOR,3181,430.0,1868.0,"Wednesday, 24 September 2025",2025-08-19,20,1,1,,House,11/4 Normanby Street,-37.8535,145.00136,2025-09-09 16:18:53,17722746,,3,0,0,False,House,House,Xynergy Realty Altona,31396,Verrel Bramasta,Built in wardrobes,https://www.domain.com.au/11-4-normanby-street-windsor-vic-3181-17722746
17727331,WINDSOR,3181,475.0,2064.0,"Thursday, 18 September 2025",2025-08-22,18,1,1,1.0,Apartment / Unit / Flat,108/152 Peel Street,-37.855804,144.99025,2025-09-09 16:18:53,17727331,,7,0,1,False,Apartment,Apartment / Unit / Flat,MRE,20795,Jivaan Carlyon,"Built in wardrobes, Gas, Intercom, Heating, Dishwasher, Car Accom: Carport, Pool/Spa Count: 0",https://www.domain.com.au/108-152-peel-street-windsor-vic-3181-17727331
17729522,WINDSOR,3181,550.0,2390.0,"Sunday, 21 September 2025",2025-08-25,15,2,1,1.0,Apartment / Unit / Flat,11/229 Dandenong Road,-37.85835,144.99911,2025-09-09 16:18:53,17729522,,7,0,1,False,Apartment,Apartment / Unit / Flat,McGrath,19308,Daniel Hamilton,,https://www.domain.com.au/11-229-dandenong-road-windsor-vic-3181-17729522
