listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17170393,WODONGA,3690,490,2130.0,"Thursday, 25 September 2025",2025-09-08,1,3,1,2.0,House,24 Wornes Drive,-36.11795,146.87004,2025-09-09 16:29:05,17170393,GF-5996-LD,8,0,0,False,House,House,Elders Real Estate Albury Wodonga & Howlong,23123,"Sue Ritchie, Kristene Gardner","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Car Parking - Surface, Carpeted, Dishwasher, Fully fenced",https://www.domain.com.au/24-wornes-drive-wodonga-vic-3690-17170393
17267385,WODONGA,3690,150,650.0,"Friday, 15 November 2024",2024-10-24,320,1,1,3.0,House,20/11-13 Day Street,-36.112427,146.89455,2025-09-09 16:29:05,17267385,,8,0,0,False,House,House,Ray White Albury Central,35291,"Manmohan Singh, Jaccob Grasso-Driscoll",,https://www.domain.com.au/20-11-13-day-street-wodonga-vic-3690-17267385
17716994,WODONGA,3690,540,2160.0,"Friday, 15 August 2025",2025-08-15,25,4,2,1.0,House,4 Amaroo Crescent,-36.14089,146.88383,2025-09-09 16:29:05,17716994,,17,0,0,False,House,House,Leasing Albury Wodonga,23394,"Property Management Team, Melanie Watson","Secure Parking, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Ducted Air Conditioning, Ensuite(s), Outdoor Entertainment Area, Fully fenced",https://www.domain.com.au/4-amaroo-crescent-wodonga-vic-3690-17716994
17744777,WODONGA,3690,630,2737.0,"Friday, 10 October 2025",2025-09-03,6,4,2,2.0,House,8 Wintersun Parade,-36.12447,146.88852,2025-09-09 16:29:05,17744777,,9,0,1,False,House,House,PJ Murphy Real Estate,17470,Renee Saunders,Ensuite,https://www.domain.com.au/8-wintersun-parade-wodonga-vic-3690-17744777
17744965,WODONGA,3690,450,1868.0,"Thursday, 25 September 2025",2025-09-03,6,2,1,2.0,Apartment / Unit / Flat,1/39 Kingfisher Drive,-36.131287,146.85304,2025-09-09 16:29:05,17744965,,12,0,0,False,Apartment,Apartment / Unit / Flat,PJ Murphy Real Estate,17470,Renee Saunders,"Built in wardrobes, Garden / Courtyard, Heating",https://www.domain.com.au/1-39-kingfisher-drive-wodonga-vic-3690-17744965
17747952,WODONGA,3690,420,1825.0,"Friday, 26 September 2025",2025-09-04,5,3,1,2.0,Apartment / Unit / Flat,2/21 McMahon Place,-36.138756,146.86147,2025-09-09 16:29:05,17747952,,12,0,0,False,Apartment,Apartment / Unit / Flat,Wodonga Real Estate Best Agents,6983,Jacquie Sterk,,https://www.domain.com.au/2-21-mcmahon-place-wodonga-vic-3690-17747952
17748559,WODONGA,3690,670,2912.0,"Friday, 05 September 2025",2025-09-05,4,3,2,2.0,House,19 Axford Boulevard,-36.139076,146.89912,2025-09-09 16:29:05,17748559,,8,0,0,False,House,House,Elders Real Estate Albury Wodonga & Howlong,23123,"Sue Ritchie, Kristene Gardner","Built in wardrobes, Close to transport, Close to shops, Close to schools",https://www.domain.com.au/19-axford-boulevard-wodonga-vic-3690-17748559
17748718,WODONGA,3690,570,2477.0,"Friday, 19 September 2025",2025-09-05,4,3,2,2.0,House,11 Hallawell Crescent,-36.140526,146.87029,2025-09-09 16:29:05,17748718,,9,0,0,False,House,House,Elders Real Estate Albury Wodonga & Howlong,23123,"Sue Ritchie, Kristene Gardner","Air conditioning, Built in wardrobes, Carpeted",https://www.domain.com.au/11-hallawell-crescent-wodonga-vic-3690-17748718
17749804,WODONGA,3690,400,1738.0,"Friday, 03 October 2025",2025-09-05,4,2,1,1.0,Apartment / Unit / Flat,2/13 Kyle Court,-36.119656,146.85715,2025-09-09 16:29:05,17749804,,12,0,0,False,Apartment,Apartment / Unit / Flat,Wodonga Real Estate Best Agents,6983,Meagan Fisher-Smith,,https://www.domain.com.au/2-13-kyle-court-wodonga-vic-3690-17749804
17749988,WODONGA,3690,640,,"Wednesday, 10 September 2025",2025-09-05,3,4,2,2.0,House,8 Bremer Avenue,-36.1591,146.88388,2025-09-09 16:29:05,17749988,,10,0,0,False,House,House,Elite Property Management Agency,13814,"Lara Walsh, Property Management Team",Heating,https://www.domain.com.au/8-bremer-avenue-wodonga-vic-3690-17749988
