listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17557915,WOLLERT,3750,510.0,2217.0,"Friday, 09 May 2025",2025-05-05,126,3,2,1,House,17 Marlborough Drive,-37.593655,144.99348,2025-09-09 16:36:09,17557915,OT-8356-DI,20,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Ebony Montebello","Ensuite, Built in wardrobes, Internal Laundry, Heating, Dishwasher, Secure Parking",https://www.domain.com.au/17-marlborough-drive-wollert-vic-3750-17557915
17662976,WOLLERT,3750,600.0,2607.0,"Friday, 25 July 2025",2025-07-10,61,4,2,2,House,11 Andalasia Street,-37.6016,145.02682,2025-09-09 16:36:09,17662976,,15,0,0,False,House,House,Jellis Craig - Brunswick,6216,"Rabbiah Mourad, Elliott Heslop","Built in wardrobes, Ducted Heating, Evaporative Cooling, Floorboards, Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking",https://www.domain.com.au/11-andalasia-street-wollert-vic-3750-17662976
17686438,WOLLERT,3750,490.0,2129.0,"Saturday, 26 July 2025",2025-07-25,46,5,2,2,Townhouse,2 Fulmine Drive,-37.591896,145.02292,2025-09-09 16:36:09,17686438,,12,0,0,True,Townhouse/Villa,Townhouse,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Floorboards, Built in wardrobes, Dishwasher, Split System Heating, Split System Air Conditioning, Remote Garage, Pets Allowed",https://www.domain.com.au/2-fulmine-drive-wollert-vic-3750-17686438
17691092,WOLLERT,3750,440.0,1912.0,"Friday, 19 September 2025",2025-07-29,42,2,1,1,Townhouse,10 Jumbuck Circuit,-37.616512,145.03185,2025-09-09 16:36:09,17691092,,2,0,0,False,Townhouse/Villa,Townhouse,Ray White Eltham,35346,Francesca Knox,"Internal Laundry, Secure Parking, Heating, Dishwasher, Air conditioning, Built in wardrobes, Balcony / Deck, Study, 2nd downstairs powder room",https://www.domain.com.au/10-jumbuck-circuit-wollert-vic-3750-17691092
17707364,WOLLERT,3750,570.0,2477.0,"Friday, 08 August 2025",2025-08-08,32,4,2,2,House,3 Cores Place,-37.579422,145.01665,2025-09-09 16:36:09,17707364,,12,0,0,False,House,House,Stockdale & Leggo Craigieburn/Mickleham,31877,"Lauren Vicary, Ebony Montebello","Ensuite, Alarm System, Built in wardrobes, Internal Laundry, Bath, Heating, Dishwasher, Secure Parking, Garden / Courtyard",https://www.domain.com.au/3-cores-place-wollert-vic-3750-17707364
17733577,WOLLERT,3750,570.0,2477.0,"Thursday, 04 September 2025",2025-08-27,13,4,2,3,House,11 Light Street,-37.583057,145.01746,2025-09-09 16:36:09,17733577,,8,0,1,False,House,House,Harcourts Rata & Co,30123,"Anna Keys, Chelsea Picone","Built in wardrobes, Secure Parking, Intercom, Heating, Close to transport, Close to shops, Close to schools, Ensuite, Openable Windows, Cooling, Dishwasher",https://www.domain.com.au/11-light-street-wollert-vic-3750-17733577
17735843,WOLLERT,3750,550.0,2389.0,"Saturday, 30 August 2025",2025-08-28,12,4,2,2,House,19 Kilarnie Boulevard,-37.581074,145.01942,2025-09-09 16:36:09,17735843,,9,0,0,False,House,House,Ray White Mill Park,12621,"Emmanuela Kanavos, Mill Park Office",Secure Parking,https://www.domain.com.au/19-kilarnie-boulevard-wollert-vic-3750-17735843
17748221,WOLLERT,3750,550.0,2389.0,"Monday, 01 September 2025",2025-09-04,4,5,2,2,House,"84 Simmental Rd,",-37.603874,145.02307,2025-09-09 16:36:09,17748221,,16,0,1,True,House,House,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Study, Alarm System, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Split System Air Conditioning, Remote Garage",https://www.domain.com.au/84-simmental-rd-wollert-vic-3750-17748221
17750320,WOLLERT,3750,520.0,2259.0,"Saturday, 13 September 2025",2025-09-06,3,3,2,2,Townhouse,10/48 Evolve Esplanade,-37.60746,145.01524,2025-09-09 16:36:09,17750320,,10,0,1,False,Townhouse/Villa,Townhouse,Jellis Craig Greensborough and Hurstbridge.,30457,Cheryl Robinson,"Air conditioning, Balcony / Deck, Dishwasher",https://www.domain.com.au/10-48-evolve-esplanade-wollert-vic-3750-17750320
17750752,WOLLERT,3750,600.0,2607.0,"Wednesday, 01 October 2025",2025-09-08,1,4,2,2,House,30 Rungrado View,-37.596855,144.99084,2025-09-09 16:36:09,17750752,,8,0,2,False,House,House,Harcourts Rata & Co,30123,Taleisha Roberts,"Secure Parking, Air conditioning, Heating, Built in wardrobes, Close to shops, Close to schools, Ensuite, Openable Windows, Cooling, Dishwasher",https://www.domain.com.au/30-rungrado-view-wollert-vic-3750-17750752
17750834,WOLLERT,3750,680.0,2955.0,"Monday, 08 September 2025",2025-09-08,1,4,2,1,House,4 Wroughton Street,-37.59279,144.99532,2025-09-09 16:36:09,17750834,,7,0,0,False,House,House,Ray White South Morang,12623,Brooklyn Ring,"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/4-wroughton-street-wollert-vic-3750-17750834
17751021,WOLLERT,3750,650.0,2824.0,"Monday, 08 September 2025",2025-09-08,1,3,2,2,House,195 Yann Drive,-37.61872,144.99646,2025-09-09 16:36:09,17751021,,14,0,1,False,House,House,SKAD REAL ESTATE THOMASTOWN,30016,Sunil Kumar,,https://www.domain.com.au/195-yann-drive-wollert-vic-3750-17751021
17752875,WOLLERT,3750,500.0,2173.0,"Friday, 10 October 2025",2025-09-09,0,2,1,2,House,2/12 Northside Drive,-37.620895,145.01668,2025-09-09 16:36:09,17752875,,7,0,0,False,House,House,Ray White Wollert,38147,Agnes Fostiropoulos,"Built in wardrobes, Secure Parking, Balcony / Deck",https://www.domain.com.au/2-12-northside-drive-wollert-vic-3750-17752875
17753161,WOLLERT,3750,550.0,2390.0,"Saturday, 11 October 2025",2025-09-09,0,3,2,2,Townhouse,16 Weerona Parkway,-37.61734,145.04135,2025-09-09 16:36:09,17753161,,12,0,0,False,Townhouse/Villa,Townhouse,Ristic Real Estate,17959,"Jacinta Scott, Bella Torres","Gas, Internal Laundry, Secure Parking, Bath, Heating, Dishwasher",https://www.domain.com.au/16-weerona-parkway-wollert-vic-3750-17753161
17753203,WOLLERT,3750,460.0,1999.0,"Saturday, 11 October 2025",2025-09-09,0,2,2,1,Townhouse,151 The Parade,-37.615158,145.01451,2025-09-09 16:36:09,17753203,,13,0,0,False,Townhouse/Villa,Townhouse, Love & Co  ,7123,Surendra Subedi,"Secure Parking, Heating, Dishwasher, Built in wardrobes, Ensuite, Split System",https://www.domain.com.au/151-the-parade-wollert-vic-3750-17753203
17753296,WOLLERT,3750,550.0,2390.0,"Tuesday, 30 September 2025",2025-09-09,0,4,2,2,Townhouse,2 Lanai Avenue,-37.618797,145.01404,2025-09-09 16:36:09,17753296,,11,0,0,False,Townhouse/Villa,Townhouse,Harcourts Rata & Co,30123,Chelsea Picone,"Gas, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Carpeted, Openable Windows, Split System Cooling, Dishwasher",https://www.domain.com.au/2-lanai-avenue-wollert-vic-3750-17753296
17753555,WOLLERT,3750,495.0,2151.0,"Wednesday, 10 September 2025",2025-09-09,0,3,2,1,Townhouse,3/48 Evolve Esplanade,-37.607136,145.01494,2025-09-09 16:36:09,17753555,,3,0,0,False,Townhouse/Villa,Townhouse,Barry Plant North Eastern Group,4902,"Peter Mac, Matthew Clark",Heating,https://www.domain.com.au/3-48-evolve-esplanade-wollert-vic-3750-17753555
17753820,WOLLERT,3750,580.0,2520.0,"Monday, 15 September 2025",2025-09-09,0,4,4,2,Townhouse,1008 Edgars Road,-37.617374,145.00502,2025-09-09 16:36:09,17753820,,3,0,1,False,Townhouse/Villa,Townhouse,Ironfish Real Estate Melbourne,21689,Samnang Chea,"Gas, Internal Laundry, Dishwasher, Pool/Spa Count: 0",https://www.domain.com.au/1008-edgars-road-wollert-vic-3750-17753820
17754037,WOLLERT,3750,530.0,2296.0,"Wednesday, 10 September 2025",2025-09-09,0,3,2,1,House,16 Beattie Court,-37.613663,145.04654,2025-09-09 16:36:09,17754037,,13,0,0,False,House,House,Di Battista Real Estate,34112,Rentals Team,"Air conditioning, Ensuite, Floorboards, Built in wardrobes, Heating, Dishwasher, Secure Parking, Balcony / Deck, Solar panels",https://www.domain.com.au/16-beattie-court-wollert-vic-3750-17754037
17754306,WOLLERT,3750,620.0,2687.0,"Friday, 03 October 2025",2025-09-09,0,4,3,1,Apartment / Unit / Flat,11 Woko Walk,-37.61263,145.00085,2025-09-09 16:36:09,17754306,,11,0,0,False,Apartment,Apartment / Unit / Flat,Jason Real Estate Sales PTY LTD,6638,"Chanel Sassine, Tiffany Luu","Close to transport, Close to shops, Close to schools, Ensuite, Dishwasher, Floorboards",https://www.domain.com.au/11-woko-walk-wollert-vic-3750-17754306
14983154,WOLLERT,3750,550.0,2390.0,"Friday, 26 September 2025",2025-08-28,11,4,2,2,Townhouse,9 Popran Walk,-37.607693,145.00027,2025-09-09 16:36:13,14983154,XJ-2889-BP,13,0,0,False,Townhouse/Villa,Townhouse,Bombay Real Estate Pty Ltd,29247,"Amandeep Kaur, Samantha Ashley","Heating, Air conditioning, Built in wardrobes, Secure Parking",https://www.domain.com.au/9-popran-walk-wollert-vic-3750-14983154
16288248,WOLLERT,3750,590.0,2564.0,"Friday, 03 October 2025",2025-08-27,13,4,2,2,House,143 The Parade,-37.615326,145.01448,2025-09-09 16:36:13,16288248,MU-4696-EG,9,0,0,False,House,House,Bombay Real Estate Pty Ltd,29247,"Julie Easterbrook, Amandeep Kaur",,https://www.domain.com.au/143-the-parade-wollert-vic-3750-16288248
16319136,WOLLERT,3750,560.0,2433.0,"Thursday, 04 September 2025",2025-09-04,5,4,2,2,Townhouse,21 Mahla Avenue,-37.62295,145.03769,2025-09-09 16:36:13,16319136,EK-0790-YW,8,0,1,False,Townhouse/Villa,Townhouse,Leap Real Estate,26670,Lachlan Castelow,"Internal Laundry, Heating, Alarm System, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Air conditioning, Remote Garage, Fully fenced, Pets Allowed",https://www.domain.com.au/21-mahla-avenue-wollert-vic-3750-16319136
17046920,WOLLERT,3750,550.0,2390.0,"Wednesday, 30 July 2025",2025-07-25,46,4,2,4,House,14 Valdese Road,-37.61772,145.0126,2025-09-09 16:36:13,17046920,VW-5464-KK,11,0,0,False,House,House,Love & Co Thomastown,7125,Nikki Vo,"Intercom, Heating, Dishwasher, Study",https://www.domain.com.au/14-valdese-road-wollert-vic-3750-17046920
17190746,WOLLERT,3750,670.0,2911.0,"Monday, 06 October 2025",2025-09-02,7,5,2,2,House,13 Alkira Boulevard,-37.602257,145.00786,2025-09-09 16:36:13,17190746,SI-2607-TF,20,0,0,False,House,House,SKAD REAL ESTATE THOMASTOWN,30016,Rental Team,Secure Parking,https://www.domain.com.au/13-alkira-boulevard-wollert-vic-3750-17190746
