listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
9901737,WONTHAGGI,3995,,50.0,"Monday, 13 July 2015",2015-07-13,3711,1,1,,Apartment / Unit / Flat,120-127 Mc Kenzie Street,-38.59734,145.59306,2025-09-09 16:50:00,9901737,,1,0,0,False,Apartment,Apartment / Unit / Flat,Ray White Wonthaggi,21666,Rental Department Wonthaggi,,https://www.domain.com.au/120-127-mc-kenzie-street-wonthaggi-vic-3995-9901737
16657115,WONTHAGGI,3995,,2112.0,"Friday, 15 September 2023",2023-09-15,725,1,1,,House,79 Watt Street,-38.606003,145.59106,2025-09-09 16:50:00,16657115,,7,0,0,False,House,House,Ray White Wonthaggi,21666,Ray White Wonthaggi,,https://www.domain.com.au/79-watt-street-wonthaggi-vic-3995-16657115
16920623,WONTHAGGI,3995,455.0,1600.0,"Saturday, 20 September 2025",2025-08-29,11,2,1,1.0,Apartment / Unit / Flat,1/31 Dunn Street,-38.61319,145.58957,2025-09-09 16:50:00,16920623,ZI-3971-XS,8,0,0,False,Apartment,Apartment / Unit / Flat,For Sale By Owner,20095,For Rent (VIC),"Secure Parking, Heating, Dishwasher",https://www.domain.com.au/1-31-dunn-street-wonthaggi-vic-3995-16920623
17171419,WONTHAGGI,3995,540.0,2346.0,"Monday, 08 September 2025",2025-08-25,15,3,2,1.0,House,57A Hagelthorn Street,-38.612827,145.58493,2025-09-09 16:50:00,17171419,CI-8063-VL,24,0,0,False,House,House,Ray White Wonthaggi,21666,Rentals Wonthaggi,Dishwasher,https://www.domain.com.au/57a-hagelthorn-street-wonthaggi-vic-3995-17171419
17715758,WONTHAGGI,3995,450.0,1950.0,"Saturday, 16 August 2025",2025-08-14,26,2,1,1.0,House,84 Merrin Crescent,-38.616165,145.58801,2025-09-09 16:50:00,17715758,,10,0,0,False,House,House,Ray White Inverloch,33740,Olivia Hughes,"Gas, Built in wardrobes, Internal Laundry, Secure Parking, Fully fenced, Balcony / Deck, Garden / Courtyard",https://www.domain.com.au/84-merrin-crescent-wonthaggi-vic-3995-17715758
17716087,WONTHAGGI,3995,540.0,,"Friday, 26 September 2025",2025-08-14,26,4,2,2.0,House,9 Splint Way,-38.583294,145.5937,2025-09-09 16:50:00,17716087,,21,0,0,False,House,House,Alex Scott & Staff Wonthaggi,26112,"Kate Reda, Wonthaggi Reception","Gas, Internal Laundry, 4 Bedrooms, Built in wardrobes, Dishwasher, Double Vanities in Ensuite, Ducted Heating, Fully fenced, Living Areas, Remote Garage Opener, Split System AirCon",https://www.domain.com.au/9-splint-way-wonthaggi-vic-3995-17716087
17726561,WONTHAGGI,3995,430.0,1868.0,"Friday, 19 September 2025",2025-08-21,19,3,1,1.0,House,45 Graham Street,-38.605907,145.59546,2025-09-09 16:50:00,17726561,,15,0,0,False,House,House,Alex Scott & Staff Inverloch,15519,"Jacinda Studham, Shayla Guymer","Bath, Heating, Shed, Fully fenced",https://www.domain.com.au/45-graham-street-wonthaggi-vic-3995-17726561
17736857,WONTHAGGI,3995,420.0,1825.0,"Friday, 29 August 2025",2025-08-28,12,3,1,,House,42 Reed Crescent,-38.6131,145.59558,2025-09-09 16:50:00,17736857,,13,0,0,False,House,House,Alex Scott & Staff Wonthaggi,26112,"Shaun Silver, Wonthaggi Reception","Internal Laundry, Bath, Heating, Shed, Dishwasher, Split System AirCon",https://www.domain.com.au/42-reed-crescent-wonthaggi-vic-3995-17736857
17741730,WONTHAGGI,3995,580.0,2520.0,"Monday, 01 September 2025",2025-09-01,8,4,2,2.0,House,26 Domain Drive,-38.595726,145.61098,2025-09-09 16:50:00,17741730,,10,0,0,False,House,House,Ray White Wonthaggi,21666,Rentals Wonthaggi,Ensuite,https://www.domain.com.au/26-domain-drive-wonthaggi-vic-3995-17741730
17747774,WONTHAGGI,3995,350.0,1520.0,"Friday, 12 September 2025",2025-09-04,5,1,1,,Apartment / Unit / Flat,,-38.607014,145.59843,2025-09-09 16:50:00,17747774,,7,0,0,False,Apartment,Apartment / Unit / Flat,Alex Scott & Staff Wonthaggi,26112,"Shaun Silver, Wonthaggi Reception",Broadband internet access,https://www.domain.com.au/wonthaggi-vic-3995-17747774
17753211,WONTHAGGI,3995,440.0,1906.0,"Friday, 12 September 2025",2025-09-09,0,3,1,1.0,House,1/9 Merrin Crescent,-38.611317,145.59569,2025-09-09 16:50:00,17753211,,10,0,0,False,House,House,Ray White Wonthaggi,21666,Rentals Wonthaggi,Built in wardrobes,https://www.domain.com.au/1-9-merrin-crescent-wonthaggi-vic-3995-17753211
17753749,WONTHAGGI,3995,430.0,1868.0,"Tuesday, 09 September 2025",2025-09-09,0,3,1,,House,107 Broome Crescent,-38.61525,145.58556,2025-09-09 16:50:00,17753749,,19,0,0,False,House,House,Alex Scott & Staff Wonthaggi,26112,"Shaun Silver, Wonthaggi Reception",,https://www.domain.com.au/107-broome-crescent-wonthaggi-vic-3995-17753749
