listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16114549,WYNDHAM VALE,3024,450.0,1955.0,"Tuesday, 01 July 2025",2025-08-20,20,4,2,2.0,House,63 Hirata Boulevard,-37.870884,144.61833,2025-09-09 16:36:10,16114549,CT-3154-BS,12,0,0,False,House,House,Shine Real Estate Pty Ltd,27453,Rental Department,"Gas, Ducted Heating, Split System Air Conditioning, Ensuite(s), Remote Garage",https://www.domain.com.au/63-hirata-boulevard-wyndham-vale-vic-3024-16114549
16398134,WYNDHAM VALE,3024,450.0,1955.0,"Wednesday, 15 October 2025",2025-09-09,0,3,2,2.0,House,12 Earlwood Way,-37.850826,144.59483,2025-09-09 16:36:10,16398134,NJ-0239-DY,19,1,1,True,House,House,Prime Residential Property Management,31221,Sophie Pearson,"Study, Built in wardrobes, Dishwasher, Bathtub, Gas Appliances, Split System Heating, Split System Air Conditioning, Ensuite(s), Remote Garage, Pets Allowed",https://www.domain.com.au/12-earlwood-way-wyndham-vale-vic-3024-16398134
17689169,WYNDHAM VALE,3024,450.0,1955.0,"Monday, 28 July 2025",2025-07-28,42,4,2,2.0,House,24 Superb Road,-37.85951,144.60385,2025-09-09 16:36:10,17689169,,12,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Secure Parking,https://www.domain.com.au/24-superb-road-wyndham-vale-vic-3024-17689169
17715437,WYNDHAM VALE,3024,500.0,2173.0,"Friday, 15 August 2025",2025-08-14,26,4,2,2.0,House,48 Boxer Drive,-37.866055,144.6234,2025-09-09 16:36:10,17715437,,18,0,0,False,House,House,Pine Crest Real Estate,35920,"Vijeta Kamboj, Taran Arora","Gas, Internal Laundry, Secure Parking, Dishwasher, Ensuite",https://www.domain.com.au/48-boxer-drive-wyndham-vale-vic-3024-17715437
17726111,WYNDHAM VALE,3024,490.0,2129.0,"Monday, 25 August 2025",2025-08-21,19,4,2,2.0,House,35 Mundara Drive,-37.893784,144.60706,2025-09-09 16:36:10,17726111,,15,0,0,False,House,House,Ray White Truganina,29324,"Akash Sharma, Palak Joshi",Heating,https://www.domain.com.au/35-mundara-drive-wyndham-vale-vic-3024-17726111
17745580,WYNDHAM VALE,3024,410.0,1782.0,"Friday, 29 August 2025",2025-09-03,6,2,1,1.0,Townhouse,11 Cosmopolitan Drive,-37.863712,144.60368,2025-09-09 16:36:10,17745580,,7,0,0,False,Townhouse/Villa,Townhouse,Equity Wise Real Estate,35180,"Nim Kaur, Maansi Agrawal","Fully fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Built in wardrobes, Dishwasher, Floorboards, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/11-cosmopolitan-drive-wyndham-vale-vic-3024-17745580
17748353,WYNDHAM VALE,3024,480.0,2086.0,"Friday, 05 September 2025",2025-09-05,4,4,2,2.0,House,26 Greenmont Road,-37.85886,144.59792,2025-09-09 16:36:10,17748353,,11,0,0,True,House,House,Victoria Real Estate Agency Pty Ltd,27202,Sonita Dawood,"Alarm System, Floorboards, Dishwasher, Ducted Heating, Split System Air Conditioning, Pets Allowed",https://www.domain.com.au/26-greenmont-road-wyndham-vale-vic-3024-17748353
17748655,WYNDHAM VALE,3024,440.0,1911.0,"Friday, 05 September 2025",2025-09-05,4,4,2,2.0,House,11 Miso Road,-37.860565,144.60182,2025-09-09 16:36:10,17748655,,11,0,1,True,House,House,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Alarm System, Floorboards, Built in wardrobes, Dishwasher, Bathtub, Ducted Heating, Evaporative Cooling, Remote Garage",https://www.domain.com.au/11-miso-road-wyndham-vale-vic-3024-17748655
17748665,WYNDHAM VALE,3024,450.0,1955.0,"Friday, 05 September 2025",2025-09-05,4,3,2,2.0,House,84 Grappa Circuit,-37.859356,144.60225,2025-09-09 16:36:10,17748665,,9,0,1,True,House,House,COMPASS REAL ESTATE (VIC) PTY LTD,38477,Sonita Dawood,"Alarm System, Floorboards, Built in wardrobes, Dishwasher, Ducted Heating, Split System Air Conditioning, Remote Garage",https://www.domain.com.au/84-grappa-circuit-wyndham-vale-vic-3024-17748665
17751260,WYNDHAM VALE,3024,480.0,2080.0,"Tuesday, 09 September 2025",2025-09-08,1,3,2,2.0,House,18 Karong Drive,-37.885777,144.61348,2025-09-09 16:36:10,17751260,,13,0,0,False,House,House,Good News Real Estate,35177,Rental Department,"Built in wardrobes, Secure Parking, Bath, Heating",https://www.domain.com.au/18-karong-drive-wyndham-vale-vic-3024-17751260
