listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16031415,YARRAVILLE,3013,810.0,3520.0,"Friday, 07 November 2025",2025-09-04,5,3,1,,House,96 Tarrengower Street,-37.81718,144.88785,2025-09-09 16:25:57,16031415,SC-6037-BR,8,0,0,False,House,House,Jas Stephens Real Estate,22,Robert Alacqua,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/96-tarrengower-street-yarraville-vic-3013-16031415
16620856,YARRAVILLE,3013,800.0,3476.0,"Monday, 13 October 2025",2025-09-08,1,3,2,1.0,Townhouse,21 Condenser Drive,-37.821804,144.88889,2025-09-09 16:25:57,16620856,PB-8933-CK,14,0,2,False,Townhouse/Villa,Townhouse,Jas Stephens Real Estate,22,Alexandra Damasoliotis,"Intercom, Built in wardrobes, Dishwasher, Bathtub, Split System Heating, Split System Air Conditioning, Ensuite(s), Balcony, Courtyard, Remote Garage, Secure Parking, Fully fenced, Water Tank, Pets Allowed",https://www.domain.com.au/21-condenser-drive-yarraville-vic-3013-16620856
16831777,YARRAVILLE,3013,480.0,2086.0,"Tuesday, 30 September 2025",2025-09-08,1,2,1,1.0,House,5/20 Angliss Street,-37.815216,144.86649,2025-09-09 16:25:57,16831777,KN-7693-AE,7,0,0,False,House,House,Xynergy Realty Altona,31396,Deny Liong,"Built in wardrobes, Internal Laundry, Heating",https://www.domain.com.au/5-20-angliss-street-yarraville-vic-3013-16831777
17144326,YARRAVILLE,3013,520.0,2260.0,"Friday, 31 October 2025",2025-09-03,6,2,1,,Apartment / Unit / Flat,3/30 Stephen Street,-37.811653,144.89505,2025-09-09 16:25:57,17144326,QN-2178-OJ,19,0,0,False,Apartment,Apartment / Unit / Flat,Mancini Real Estate ,11724,Verity Sattout,"Built in wardrobes, Heating, Dishwasher",https://www.domain.com.au/3-30-stephen-street-yarraville-vic-3013-17144326
17703799,YARRAVILLE,3013,720.0,3129.0,"Thursday, 04 September 2025",2025-08-06,34,3,1,2.0,Apartment / Unit / Flat,2/12 Charlotte Street,-37.812283,144.87212,2025-09-09 16:25:57,17703799,,9,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Inner West,4371,Eliza O'Donnell,"Internal Laundry, Bath, Split System Air Con, Balcony / Deck, Built in wardrobes, Garden / Courtyard, Remote Garage",https://www.domain.com.au/2-12-charlotte-street-yarraville-vic-3013-17703799
17720691,YARRAVILLE,3013,580.0,2520.0,"Monday, 15 September 2025",2025-08-18,21,3,1,1.0,House,280 Francis Street,-37.819225,144.87529,2025-09-09 16:25:57,17720691,,8,0,0,False,House,House,Buxton Inner West,4371,Eliza O'Donnell,"Bath, Split System Air Con, Split System Heating, Remote Garage, Floorboards, Rumpus Room",https://www.domain.com.au/280-francis-street-yarraville-vic-3013-17720691
17724046,YARRAVILLE,3013,550.0,2390.0,"Monday, 25 August 2025",2025-08-20,20,2,1,1.0,Apartment / Unit / Flat,9/146 Hyde Street,-37.81573,144.89671,2025-09-09 16:25:57,17724046,,6,0,0,False,Apartment,Apartment / Unit / Flat,Buxton Inner West,4371,Eliza O'Donnell,"Bath, Air conditioning, Balcony / Deck, Built in wardrobes, Floorboards, Secure Parking",https://www.domain.com.au/9-146-hyde-street-yarraville-vic-3013-17724046
17731142,YARRAVILLE,3013,610.0,2651.0,"Monday, 15 September 2025",2025-08-26,14,2,2,1.0,Townhouse,86 Drew Street,-37.81569,144.86923,2025-09-09 16:25:57,17731142,,13,0,0,True,Townhouse/Villa,Townhouse,First National Real Estate D & K ,15204,"Dorothy Schembri, Jordon Gillett",,https://www.domain.com.au/86-drew-street-yarraville-vic-3013-17731142
17734037,YARRAVILLE,3013,760.0,3302.0,"Saturday, 13 September 2025",2025-08-27,13,4,2,1.0,House,5 Bromyard Street,-37.816845,144.87239,2025-09-09 16:25:57,17734037,,8,0,1,False,House,House,HEDLEY REAL ESTATE,31782,"Kayla Crea, William Saritschniy",,https://www.domain.com.au/5-bromyard-street-yarraville-vic-3013-17734037
17738858,YARRAVILLE,3013,750.0,3259.0,"Friday, 12 September 2025",2025-08-29,11,3,1,,House,35 Castlemaine Street,-37.81496,144.89189,2025-09-09 16:25:57,17738858,,6,0,0,False,House,House,Village Real Estate ,20880,Cassandra Hutchings,"Internal Laundry, Bath, Heating",https://www.domain.com.au/35-castlemaine-street-yarraville-vic-3013-17738858
17738878,YARRAVILLE,3013,550.0,2390.0,"Friday, 29 August 2025",2025-08-29,11,2,1,1.0,House,151 Williamstown Road,-37.811256,144.88397,2025-09-09 16:25:57,17738878,,7,0,0,False,House,House,NICOLE GERVASI PROPERTY GROUP,29875,"Amanda Ocean Pacifique, Andrew D'Aprano, Paul Gervasi",,https://www.domain.com.au/151-williamstown-road-yarraville-vic-3013-17738878
