listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
16581824,YARRAWONGA,3730,370.0,1480.0,"Wednesday, 03 September 2025",2025-08-01,39,2,1,1.0,Apartment / Unit / Flat,3/42A Lynch Street,-36.013775,146.00775,2025-09-09 16:32:47,16581824,WZ-4296-QX,3,0,0,False,Apartment,Apartment / Unit / Flat,Elders Real Estate Yarrawonga,4805,"Megan Forelli, Chloe Stanton","Air conditioning, Heating, Built in wardrobes, Close to transport, Close to shops, Close to schools, Car Parking - Surface, Carpeted, Courtyard",https://www.domain.com.au/3-42a-lynch-street-yarrawonga-vic-3730-16581824
17142723,YARRAWONGA,3730,,4333.0,"Friday, 02 August 2024",2024-08-02,403,1,1,4.0,New House & Land,22 Enterprise Way,-36.01287,146.02602,2025-09-09 16:32:47,17142723,EM-8039-BJ,13,0,0,False,House,New House & Land,Kennedy Real Estate,13719,Karen Vodusek,,https://www.domain.com.au/22-enterprise-way-yarrawonga-vic-3730-17142723
17240713,YARRAWONGA,3730,42.0,,"Thursday, 03 October 2024",2024-10-07,337,1,1,,Apartment / Unit / Flat,5 Enterprise Way,-36.01175,146.02844,2025-09-09 16:32:47,17240713,,5,0,0,False,Apartment,Apartment / Unit / Flat,Elders Real Estate Yarrawonga,4805,"Megan Forelli, Chloe Stanton","Roller Door Access, Security System",https://www.domain.com.au/5-enterprise-way-yarrawonga-vic-3730-17240713
17365181,YARRAWONGA,3730,1561.0,6783.0,"Saturday, 28 December 2024",2024-12-28,255,1,1,1.0,House,135 Belmore Street,-36.013775,146.00418,2025-09-09 16:32:47,17365181,RD-9920-XZ,10,0,0,False,House,House,Kennedy Real Estate,13719,Danielle Kennedy,,https://www.domain.com.au/135-belmore-street-yarrawonga-vic-3730-17365181
17474427,YARRAWONGA,3730,425.0,1842.0,"Monday, 29 September 2025",2025-09-09,0,2,1,2.0,Apartment / Unit / Flat,2/2 Orr Street,-36.012886,145.99924,2025-09-09 16:32:47,17474427,XS-7925-FU,12,0,1,False,Apartment,Apartment / Unit / Flat,Ray White Euroa,38309,Charlene Cullen,"Secure Parking, Furnished, Heating",https://www.domain.com.au/2-2-orr-street-yarrawonga-vic-3730-17474427
17483482,YARRAWONGA,3730,635.0,2759.0,"Thursday, 13 March 2025",2025-03-14,179,1,1,1.0,New House & Land,26 hovell street,-36.01145,146.0035,2025-09-09 16:32:47,17483482,JZ-4715-ZA,5,0,0,False,House,New House & Land,Kennedy Real Estate,13719,Sarah Wilberforce,,https://www.domain.com.au/26-hovell-street-yarrawonga-vic-3730-17483482
17517246,YARRAWONGA,3730,580.0,2320.0,"Friday, 21 March 2025",2025-04-05,157,4,2,2.0,House,6 Bottle brush Drive,-36.01128,146.04836,2025-09-09 16:32:47,17517246,LE-2633-HS,12,0,1,False,House,House,STEPHENIE EXTON PROPERTY,38655,Rental Department,Heating,https://www.domain.com.au/6-bottle-brush-drive-yarrawonga-vic-3730-17517246
17545949,YARRAWONGA,3730,320.0,1280.0,"Monday, 28 April 2025",2025-04-28,134,1,1,1.0,Townhouse,1 4/33 Gorman Drive,-36.023365,146.0175,2025-09-09 16:32:47,17545949,,7,0,0,False,Townhouse/Villa,Townhouse,Seeliger Real Estate,35226,Deb Seccull,"Gas, Fully fenced, Outdoor Entertainment Area, Remote Garage, Built in wardrobes, Floorboards, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/1-4-33-gorman-drive-yarrawonga-vic-3730-17545949
17588221,YARRAWONGA,3730,580.0,2320.0,"Friday, 23 May 2025",2025-05-23,109,4,2,3.0,House,33 Phillip Hyland Drive,-36.00927,146.03421,2025-09-09 16:32:47,17588221,HC-0044-IX,27,0,0,False,House,House,Kennedy Real Estate,13719,Caitlyn Whitelock,"Internal Laundry, Pets Allowed, Fireplace(s), Heating, Fully fenced",https://www.domain.com.au/33-phillip-hyland-drive-yarrawonga-vic-3730-17588221
17608207,YARRAWONGA,3730,580.0,2320.0,"Thursday, 05 June 2025",2025-06-05,96,4,2,2.0,House,,-36.026073,146.00032,2025-09-09 16:32:47,17608207,,8,0,0,False,House,House,STEPHENIE EXTON PROPERTY,38655,Stephenie Exton,,https://www.domain.com.au/yarrawonga-vic-3730-17608207
17724733,YARRAWONGA,3730,480.0,1920.0,"Friday, 26 September 2025",2025-08-20,19,3,1,1.0,House,5 McNally Street,-36.015278,146.00224,2025-09-09 16:32:47,17724733,,13,0,0,False,House,House,Seeliger Real Estate,35226,Deb Seccull,"Built in wardrobes, Internal Laundry, Fully fenced, Shed, Air conditioning, Split-System Air Conditioning, Split-System Heating",https://www.domain.com.au/5-mcnally-street-yarrawonga-vic-3730-17724733
17732878,YARRAWONGA,3730,580.0,2520.0,"Monday, 08 September 2025",2025-08-26,14,4,2,2.0,House,15 Correa Street,-36.021538,146.01999,2025-09-09 16:32:47,17732878,,9,0,1,False,House,House,First National Real Estate Bonnici & Associates,22622,"Steph Havik, Blair DeFazio",,https://www.domain.com.au/15-correa-street-yarrawonga-vic-3730-17732878
17737564,YARRAWONGA,3730,600.0,2400.0,"Thursday, 28 August 2025",2025-08-28,11,4,2,2.0,House,24 Blackwood Crescent,-36.017803,146.01575,2025-09-09 16:32:47,17737564,,16,0,0,False,House,House,STEPHENIE EXTON PROPERTY,38655,Stephenie Exton,Bath,https://www.domain.com.au/24-blackwood-crescent-yarrawonga-vic-3730-17737564
17738946,YARRAWONGA,3730,610.0,2440.0,"Thursday, 09 October 2025",2025-08-29,11,3,2,2.0,House,165 Peter Thomson Circuit,-36.01058,146.0448,2025-09-09 16:32:47,17738946,,16,0,0,False,House,House,Elders Real Estate Yarrawonga,4805,"Megan Forelli, Chloe Stanton","Heating, Built in wardrobes, Ensuite, Car Parking - Surface, Roller Door Access, Dishwasher",https://www.domain.com.au/165-peter-thomson-circuit-yarrawonga-vic-3730-17738946
17739837,YARRAWONGA,3730,590.0,2557.0,"Monday, 01 September 2025",2025-09-01,8,4,2,2.0,House,1 Greybox Lane,-36.020634,146.01562,2025-09-09 16:32:47,17739837,,9,0,1,False,House,House,First National Real Estate Bonnici & Associates,22622,"Steph Havik, Blair DeFazio",,https://www.domain.com.au/1-greybox-lane-yarrawonga-vic-3730-17739837
17741203,YARRAWONGA,3730,550.0,,"Monday, 01 September 2025",2025-09-01,8,4,2,4.0,House,2C Botts Road,-36.00601,146.031,2025-09-09 16:32:47,17741203,,16,0,0,False,House,House,Kennedy Real Estate,13719,Caitlyn Whitelock,,https://www.domain.com.au/2c-botts-road-yarrawonga-vic-3730-17741203
