Locality,,,,,,,,,,,No. of Sales,,Change (%),
,Jan-Mar,,Apr-Jun,,Jul-Sep,,Oct-Dec,,Jan-Mar,,Jan-Mar,,Jan-Mar 2024 To Jan-March 2025,Oct-Dec 2024 To Jan-Mar 2025
,2024,,2024,,2024,,2024,,2025,,2025,2025,,
ABBOTSFORD,1202500, ,1275000, ,1147500, ,1240000, ,1310000,^,9,9,8.9,5.6
ABERFELDIE,2050000, ,1725000,^,2487500,^,1900000, ,2045000, ,11,11,-0.2,7.6
AINTREE,740000, ,782500, ,738600, ,690000, ,720000, ,39,39,-2.7,4.3
AIREYS INLET,1605000,^,1330000,^,1450000,^,1649000,^,1312500,^,4,4,-18.2,-20.4
AIRPORT WEST,1000000, ,983800, ,900800, ,915000, ,1000000, ,29,29,0.0,9.3
ALBANVALE,625000, ,605500, ,620000, ,612000, ,625000, ,23,23,0.0,2.1
ALBERT PARK,2245000, ,1900500, ,2450000, ,2265000, ,2046000, ,16,16,-8.9,-9.7
ALBION,715000,^,737500, ,780000, ,705000,^,738800, ,14,14,3.3,4.8
ALEXANDRA,560000, ,532500,^,525000,^,489000, ,680000,^,5,5,21.4,39.1
ALFREDTON,621000, ,630000, ,590000, ,590000, ,610000, ,83,83,-1.8,3.4
ALLANSFORD,365000,^,550000,^,497000,^,555000,^,837500,^,4,4,129.5,50.9
ALPHINGTON,2400000, ,1968300, ,2185000,^,2090000, ,1965000, ,14,14,-18.1,-6.0
ALTONA,1040000, ,1181000, ,1180000, ,1150000, ,1200000, ,25,25,15.4,4.3
ALTONA EAST,1000000,^,1095000, ,1100000,^,1035000, ,950000,^,3,3,-5.0,-8.2
ALTONA MEADOWS,700000, ,708500, ,690000, ,760000, ,738500, ,20,20,5.5,-2.8
ALTONA NORTH,940000, ,880000, ,950000, ,880000, ,1039500, ,44,44,10.6,18.1
ANGLESEA,1825000, ,1422500, ,1650000, ,1435000, ,1375000, ,18,18,-24.7,-4.2
APOLLO BAY,850000,^,1042500, ,905000,^,890000,^,775000,^,6,6,-8.8,-12.9
ARARAT,345000, ,375000, ,390000, ,395000, ,377000, ,35,35,9.3,-4.6
ARDEER,700000,^,675100, ,700000, ,670000, ,695000, ,12,12,-0.7,3.7
ARMADALE,2700000, ,2125000, ,2317500, ,2450000, ,2588000, ,20,20,-4.1,5.6
ARMSTRONG CREEK,675000, ,655000, ,665000, ,650000, ,648000, ,129,129,-4.0,-0.3
ASCOT (GREATER BENDIGO),562800,^,566500, ,610000,^,660000, ,622500, ,14,14,10.6,-5.7
ASCOT VALE,1382000, ,1265000, ,1220000, ,1327500, ,1357500, ,45,45,-1.8,2.3
ASHBURTON,1880000, ,2126000, ,1845000, ,1820000, ,1851000, ,30,30,-1.5,1.7
ASHWOOD,1670000,^,1555000, ,1470000, ,1380000, ,1510000, ,17,17,-9.6,9.4
ASPENDALE,1385000, ,1325000, ,1327500, ,1210000, ,1339300, ,14,14,-3.3,10.7
ASPENDALE GARDENS,1150000,^,1227000, ,1180500, ,1247500, ,1225000, ,14,14,6.5,-1.8
ATTWOOD,930000,^,1057800, ,815000,^,785000,^,700000,^,7,7,-24.7,-10.8
AVENEL,467500,^,617500,^,512000,^,486000,^,569000,^,2,2,21.7,17.1
AVOCA,335000,^,415000,^,375000,^,405000,^,380000,^,9,9,13.4,-6.2
AVONDALE HEIGHTS,980000, ,986500, ,1000000, ,965000, ,932500, ,34,34,-4.8,-3.4
BACCHUS MARSH,617500, ,633200, ,600000, ,575000, ,620000, ,40,40,0.4,7.8
BADGER CREEK,690000,^,740000,^,620000,^,617500,^,697500,^,6,6,1.1,13.0
BAIRNSDALE,387500, ,460000, ,430000, ,470000, ,450000, ,35,35,16.1,-4.3
BALACLAVA,1596300,^,1435000, ,1307500,^,1302500, ,1450000,^,5,5,-9.2,11.3
BALCOMBE,2100000, ,1482500, ,1675000, ,1590000, ,1580000, ,34,34,-24.8,-0.6
BALLAN,670000, ,650000, ,597500, ,580000, ,622500, ,12,12,-7.1,7.3
BALLARAT CENTRAL,650000, ,530000, ,537500, ,590000, ,635000, ,34,34,-2.3,7.6
BALLARAT EAST,485000, ,480000, ,462500, ,456000, ,500000, ,29,29,3.1,9.6
