stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"13626","13626","Lakeside Bvd/Princes Hwy","-38.06234821","145.45670895","","","0","Level 0",""
"13761","13761","Hudson Park/Sydney St","-37.29495217","144.95170761","","","0","Level 0",""
"13762","13762","Hudson Park/Sydney St","-37.29570688","144.95209325","","","0","Level 0",""
"13763","13763","High St/Main Rd","-37.27811812","144.73660672","","","0","Level 0",""
"13764","13764","High St/Main Rd","-37.27804994","144.73681176","","","0","Level 0",""
"13765","13765","Romsey Community Hub/Main St","-37.35008997","144.74281161","","","0","Level 0",""
"13766","13766","Romsey Community Hub/Main St","-37.35012130","144.74303644","","","0","Level 0",""
"14005","14005","Bloomfield Rd/Queen St","-38.17034767","145.96787463","","","0","Level 0",""
"15096","15096","Jennings St/Northern Hwy","-36.92740598","144.71185196","","","0","Level 0",""
"15097","15097","Jennings St/Northern Hwy","-36.92746867","144.71229911","","","0","Level 0",""
"15109","15109","Murray River Council/Cobb Hwy","-36.11428466","144.75611191","","","0","Level 0",""
"15113","15113","Thompson St/Main St","-35.64357276","144.13119650","","","0","Level 0",""
"15114","15114","King Albert Ave/Leitchville Rd","-35.90363714","144.30111531","","","0","Level 0",""
"15115","15115","Newsagent/Murray Valley Hwy","-35.95628939","144.36879683","","","0","Level 0",""
"15116","15116","Newsagent/Murray Valley Hwy","-35.95598292","144.36879592","","","0","Level 0",""
"15117","15117","General Store/Murray Valley Hwy","-36.02893281","144.51656586","","","0","Level 0",""
"15122","15122","Transit Centre/Union St","-36.31438202","145.04752566","","","0","Level 0",""
"15123","15123","Mill St/McLennan St","-36.39407805","145.36133151","","","0","Level 0",""
"15124","15124","Mill St/Midland Hwy","-36.39457124","145.36114276","","","0","Level 0",""
"15126","15126","Shepparton Station/Purcell St ","-36.38381597","145.40634090","","","0","",""
"15127","15127","Fraser St/Wyndham St","-36.37983885","145.39946584","","","0","Level 0",""
"15128","15128","Fraser St/Wyndham St","-36.37950029","145.39976262","","","0","Level 0",""
"15130","15130","Barmah Hotel/Maloney St","-36.01725216","144.95780731","","","0","Level 0",""
"15137","15137","Milk Bar/Station St","-36.39707478","144.98085811","","","0","Level 0",""
"15139","15139","Birdwood Ave/Brundenell St","-36.44571461","144.98258788","","","0","Level 0",""
"15140","15140","Birdwood Ave/Brundenell St","-36.44595542","144.98243661","","","0","Level 0",""
"15143","15143","High St/Moora Rd","-36.58566655","145.01472681","","","0","Level 0",""
"16079","16079","Princes Fwy","-38.18692302","146.00142806","","","0","Level 0",""
"16091","16091","Princes Fwy","-38.18627015","146.00201932","","","0","Level 0",""
"16096","16096","Yarragon Station/Princes Hwy ","-38.20334522","146.06286623","","","0","",""
"1613","1613","Webster St/Dunlop St","-38.08069184","142.80477363","","","0","Level 0",""
"16133","16133","Yarragon Railway Station/Princes Hwy ","-38.20367620","146.06368431","","","0","",""
"16238","16238","Bendigo Station/Railway Pl","-36.76592841","144.28210371","","","0","Level 0","Bay 1"
"16245","16245","Marong/Calder Hwy ","-36.73550392","144.13205842","","","0","Level 0",""
"16246","16246","Marong/Calder Hwy ","-36.73543206","144.13244177","","","0","Level 0",""
"16247","16247","Bridgewater/Calder Hwy ","-36.60167453","143.94134472","","","0","Level 0",""
"16248","16248","Bridgewater/Calder Hwy ","-36.60144718","143.94126430","","","0","Level 0",""
"16249","16249","Inglewood/Grant St ","-36.57545394","143.86930160","","","0","Level 0",""
"16250","16250","Inglewood/Grant St ","-36.57562799","143.86975263","","","0","Level 0",""
"16251","16251","Jacka Park/Chapel St","-36.41815228","143.61360463","","","0","Level 0",""
"16252","16252","Jacka Park/Chapel St","-36.41810824","143.61364000","","","0","Level 0",""
"16253","16253","Travellers Rest/John Curtin Dr","-36.26835214","143.35087668","","","0","Level 0",""
"16258","16258","Post Office/Calder Hwy","-36.07693596","143.22576548","","","0","Level 0",""
"16264","16264","Newsagency/Best St","-35.50427039","142.84980561","","","0","Level 0",""
"16265","16265","McCelland St/Dillon St","-35.46978487","143.26744003","","","0","Level 0",""
"16266","16266","McGregor's Garage/Donald - Swan Hill Rd","-35.67077283","143.37532870","","","0","Level 0",""
"16287","16287","Morwell Station/Princes Dr ","-38.23684998","146.39773465","","","0","",""
"16288","16288","TAFE Gippsland - Yallourn Campus/Monash Rd","-38.17687379","146.30810149","","","0","Level 0",""
"16289","16289","Newborough TAFE/Monash Rd","-38.17607004","146.30782366","","","0","Level 0",""
"16290","16290","Centre Valley Rd/Princes Dr","-38.23558171","146.42888198","","","0","Level 0",""
"16291","16291","Centre Valley Rd/Princes Dr","-38.23508871","146.42943430","","","0","Level 0",""
"16295","16295","Traralgon Station/Princes St ","-38.19832035","146.53869655","","","0","Level 0",""
"16297","16297","Traralgon Plaza SC/Franklin St","-38.19442587","146.53842420","","","0","Level 0",""
